Date,Strategy_Equity
2024-03-21,10102.709310531616
2024-03-22,10049.741106033325
2024-03-25,9992.138723373413
2024-03-26,10067.115839004517
2024-03-27,10234.44826889038
2024-03-28,10284.227979660034
2024-04-01,10194.65048789978
2024-04-02,10071.907852172852
2024-04-03,10075.431894302368
2024-04-04,9973.850425720215
2024-04-05,10018.371431350708
2024-04-08,10125.265626907349
2024-04-09,10153.710144042969
2024-04-10,9933.956331253052
2024-04-11,10011.553033828735
2024-04-12,9874.57964515686
2024-04-15,9816.856840133667
2024-04-16,9823.210189819336
2024-04-17,9896.038055419922
2024-04-18,9900.035669326782
2024-04-19,9830.86629486084
2024-04-22,9964.272548675537
2024-04-23,10072.406524658203
2024-04-24,9991.98779296875
2024-04-25,9953.467460632324
2024-04-26,9961.3821849823
2024-04-29,10061.540384292603
2024-04-30,9867.314496994019
2024-05-01,9916.716836929321
2024-05-02,10038.92495727539
2024-05-03,10052.623146057129
2024-05-06,10201.085912704468
2024-05-07,10095.97396659851
2024-05-08,10179.284391403198
2024-05-09,10419.930353164673
2024-05-10,10448.631357192993
2024-05-13,10463.96753692627
2024-05-14,10467.617822647095
2024-05-15,10540.874071121216
2024-05-16,10451.547269821167
2024-05-17,10467.719621658325
2024-05-20,10419.64252281189
2024-05-21,10465.571409225464
2024-05-22,10444.469175338745
2024-05-23,10318.777841567993
2024-05-24,10337.618112564087
2024-05-28,10272.467134475708
2024-05-29,10182.863443374634
2024-05-30,10166.969770431519
2024-05-31,10316.182912826538
2024-06-03,10296.16801071167
2024-06-04,10219.745813369751
2024-06-05,10382.19753074646
2024-06-06,10298.182306289673
2024-06-07,10292.98228263855
2024-06-10,10321.230726242065
2024-06-11,10188.793287277222
2024-06-12,10363.79564857483
2024-06-13,10330.35659790039
2024-06-14,10184.966306686401
2024-06-17,10294.936489105225
2024-06-18,10394.422733306885
2024-06-20,10091.757041931152
2024-06-21,10144.718969345093
2024-06-24,10185.057308197021
2024-06-25,10194.382810592651
2024-06-26,10150.966060638428
2024-06-27,9969.586349487305
2024-06-28,9911.973764419556
2024-07-01,9760.39454460144
2024-07-02,9728.960929870605
2024-07-03,9653.26009941101
2024-07-05,9591.391019821167
2024-07-08,9623.899620056152
2024-07-09,9619.077087402344
2024-07-10,9731.354726791382
2024-07-11,9877.895185470581
2024-07-12,10008.597616195679
2024-07-15,10024.732133865356
2024-07-16,10201.305757522583
2024-07-17,10025.507179260254
2024-07-18,9878.87745475769
2024-07-19,9847.385074615479
2024-07-22,10049.127584457397
2024-07-23,9953.33568572998
2024-07-24,9739.236032485962
2024-07-25,9844.754970550537
2024-07-26,9902.878170013428
2024-07-29,9936.112129211426
2024-07-30,10362.678810119629
2024-07-31,10549.655738830566
2024-08-01,10457.580421447754
